symbol
AAL
AAPL
ABT
ADSK
ALL
BABA
BAC
BB
BHC
BTU
BX
CAT
CCJ
CEIX
CHK
CMG
CNX
CREE
CSIQ
DAL
DIA
DLR
DXJ
EA
EQNR
EURN
EWJ
EWY
FB
FEYE
FSLR
FXI
GDX
GE
GLD
GNW
GOOS
GRMN
GRPN
GRUB
HQY
HYG
I
IBB
INTC
IWM
JD
KMI
LC
LNG
LYFT
MCD
MOBL
NOK
NYMT
OSTK
OXY
PBR
PCG
PFF
PLUG
QQQ
QRVO
RDS.A
RIO
S
SAVE
SDRL
SNAP
SPG
SPWR
SPY
SQ
SRC
SSYS
STX
T
TGT
TKC
TLT
TOT
TSLA
TWLO
TWTR
UBER
VIV
VOD
VSLR
WPM
WUBA
X
YNDX
YPF
YY
